Index,Zeit[s],Drehzahl[1/min],Generatorspannung[V],Motorspannung[V],Strommessung[A],Temperatur[C]
1, 0.0000, 28.1080, 0.0501, 5.8135, 0.4873, 19.6425
2, 0.0005, 28.1080, 0.0452, 5.8350, 0.4853, 19.6425
3, 0.0010, 33.2185, 0.0647, 5.8262, 0.4873, 19.6425
4, 0.0015, 32.6507, 0.0671, 5.8311, 0.4833, 19.6425
5, 0.0020, 36.6256, 0.0696, 5.8233, 0.4792, 19.6425
6, 0.0025, 33.2185, 0.0720, 5.8409, 0.4751, 19.6425
7, 0.0030, 35.4899, 0.0818, 5.8482, 0.4690, 19.6424
8, 0.0035, 38.8969, 0.0720, 5.8428, 0.4629, 19.6424
9, 0.0040, 38.8969, 0.0598, 5.8267, 0.4710, 19.6424
10, 0.0045, 42.3039, 0.0794, 5.8091, 0.4751, 19.6424
11, 0.0050, 39.4648, 0.0671, 5.8418, 0.4690, 19.6424
12, 0.0055, 41.7361, 0.0671, 5.8404, 0.4649, 19.6424
13, 0.0060, 41.7361, 0.0647, 5.8453, 0.4609, 19.6424
14, 0.0065, 45.7110, 0.0696, 5.8360, 0.4527, 19.6424
15, 0.0070, 48.5502, 0.0696, 5.8711, 0.4446, 19.6424
16, 0.0075, 46.2788, 0.0671, 5.8858, 0.4324, 19.6424
17, 0.0080, 48.5502, 0.0549, 5.8726, 0.4222, 19.6424
18, 0.0085, 46.8467, 0.0598, 5.8872, 0.4100, 19.6423
19, 0.0090, 50.8215, 0.0598, 5.9048, 0.4059, 19.6423
20, 0.0095, 51.9572, 0.0525, 5.8921, 0.4059, 19.6423
21, 0.0100, 51.3894, 0.0525, 5.9302, 0.4059, 19.6423
22, 0.0105, 53.0929, 0.0525, 5.9039, 0.4120, 19.6423
23, 0.0110, 51.3894, 0.0452, 5.9014, 0.4141, 19.6423
24, 0.0115, 56.4999, 0.0378, 5.8848, 0.4120, 19.6423
25, 0.0120, 55.3642, 0.0476, 5.8872, 0.4100, 19.6423
26, 0.0125, 57.0677, 0.0378, 5.8848, 0.4120, 19.6423
27, 0.0130, 58.2034, 0.0354, 5.8838, 0.4181, 19.6423
28, 0.0135, 55.3642, 0.0452, 5.8804, 0.4263, 19.6422
29, 0.0140, 61.0426, 0.0476, 5.8819, 0.4304, 19.6422
30, 0.0145, 61.0426, 0.0403, 5.8819, 0.4304, 19.6422
31, 0.0150, 63.3140, 0.0525, 6.0236, 0.4446, 19.6422
32, 0.0155, 62.7461, 0.0525, 6.0299, 0.4446, 19.6422
33, 0.0160, 62.7461, 0.0647, 6.0236, 0.4446, 19.6422
34, 0.0165, 67.2888, 0.0623, 6.0245, 0.4649, 19.6422
35, 0.0170, 66.1532, 0.0745, 6.0402, 0.4466, 19.6422
36, 0.0175, 70.1280, 0.0818, 6.0065, 0.4588, 19.6422
37, 0.0180, 67.8567, 0.0794, 6.0236, 0.4710, 19.6422
38, 0.0185, 68.4245, 0.0867, 6.0026, 0.4833, 19.6422
39, 0.0190, 71.2637, 0.0916, 5.9864, 0.4914, 19.6421
40, 0.0195, 70.1280, 0.1087, 5.9640, 0.4995, 19.6421
41, 0.0200, 74.6707, 0.0989, 5.9615, 0.5016, 19.6421
