time,voltage
0.0,2.0
0.0005,2.006
0.001,2.013
0.0015,2.019
0.002,2.025
0.0025,2.031
0.003,2.038
0.0035,2.044
0.004,2.05
0.0045,2.057
0.005,2.063
0.0055,2.069
0.006,2.075
0.0065,2.082
0.007,2.088
0.0075,2.094
0.008,2.1
0.0085,2.107
0.009,2.113
0.0095,2.119
0.01,2.126
0.0105,2.132
0.011,2.138
0.0115,2.144
0.012,2.151
0.0125,2.157
0.013,2.163
0.0135,2.169
0.014,2.176
0.0145,2.182
0.015,2.188
0.0155,2.194
0.016,2.201
0.0165,2.207
0.017,2.213
0.0175,2.219
0.018,2.226
0.0185,2.232
0.019,2.238
0.0195,2.244
0.02,2.251
0.0205,2.257
0.021,2.263
0.0215,2.269
0.022,2.276
0.0225,2.282
0.023,2.288
0.0235,2.294
0.024,2.3
0.0245,2.307
0.025,2.313
0.0255,2.319
0.026,2.325
0.0265,2.331
0.027,2.338
0.0275,2.344
0.028,2.35
0.0285,2.356
0.029,2.362
0.0295,2.369
0.03,2.375
0.0305,2.381
0.031,2.387
0.0315,2.393
0.032,2.399
0.0325,2.406
0.033,2.412
0.0335,2.418
0.034,2.424
0.0345,2.43
0.035,2.436
0.0355,2.442
0.036,2.449
0.0365,2.455
0.037,2.461
0.0375,2.467
0.038,2.473
0.0385,2.479
0.039,2.485
0.0395,2.491
0.04,2.497
0.0405,2.503
0.041,2.51
0.0415,2.516
0.042,2.522
0.0425,2.528
0.043,2.534
0.0435,2.54
0.044,2.546
0.0445,2.552
0.045,2.558
0.0455,2.564
0.046,2.57
0.0465,2.576
0.047,2.582
0.0475,2.588
0.048,2.594
0.0485,2.6
0.049,2.606
0.0495,2.612
0.05,2.618
0.0505,2.624
0.051,2.63
0.0515,2.636
0.052,2.642
0.0525,2.648
0.053,2.654
0.0535,2.66
0.054,2.666
0.0545,2.672
0.055,2.677
0.0555,2.683
0.056,2.689
0.0565,2.695
0.057,2.701
0.0575,2.707
0.058,2.713
0.0585,2.719
0.059,2.725
0.0595,2.73
0.06,2.736
0.0605,2.742
0.061,2.748
0.0615,2.754
0.062,2.76
0.0625,2.765
0.063,2.771
0.0635,2.777
0.064,2.783
0.0645,2.789
0.065,2.794
0.0655,2.8
0.066,2.806
0.0665,2.812
0.067,2.817
0.0675,2.823
0.068,2.829
0.0685,2.834
0.069,2.84
0.0695,2.846
0.07,2.852
0.0705,2.857
0.071,2.863
0.0715,2.869
0.072,2.874
0.0725,2.88
0.073,2.886
0.0735,2.891
0.074,2.897
0.0745,2.902
0.075,2.908
0.0755,2.914
0.076,2.919
0.0765,2.925
0.077,2.93
0.0775,2.936
0.078,2.941
0.0785,2.947
0.079,2.952
0.0795,2.958
0.08,2.964
0.0805,2.969
0.081,2.975
0.0815,2.98
0.082,2.985
0.0825,2.991
0.083,2.996
0.0835,3.002
0.084,3.007
0.0845,3.013
0.085,3.018
0.0855,3.023
0.086,3.029
0.0865,3.034
0.087,3.04
0.0875,3.045
0.088,3.05
0.0885,3.056
0.089,3.061
0.0895,3.066
0.09,3.072
0.0905,3.077
0.091,3.082
0.0915,3.088
0.092,3.093
0.0925,3.098
0.093,3.103
0.0935,3.109
0.094,3.114
0.0945,3.119
0.095,3.124
0.0955,3.129
0.096,3.135
0.0965,3.14
0.097,3.145
0.0975,3.15
0.098,3.155
0.0985,3.16
0.099,3.165
0.0995,3.17
0.1,3.176
0.1005,3.181
0.101,3.186
0.1015,3.191
0.102,3.196
0.1025,3.201
0.103,3.206
0.1035,3.211
0.104,3.216
0.1045,3.221
0.105,3.226
0.1055,3.231
0.106,3.236
0.1065,3.241
0.107,3.246
0.1075,3.25
0.108,3.255
0.1085,3.26
0.109,3.265
0.1095,3.27
0.11,3.275
0.1105,3.28
0.111,3.285
0.1115,3.289
0.112,3.294
0.1125,3.299
0.113,3.304
0.1135,3.308
0.114,3.313
0.1145,3.318
0.115,3.323
0.1155,3.327
0.116,3.332
0.1165,3.337
0.117,3.341
0.1175,3.346
0.118,3.351
0.1185,3.355
0.119,3.36
0.1195,3.365
0.12,3.369
0.1205,3.374
0.121,3.378
0.1215,3.383
0.122,3.387
0.1225,3.392
0.123,3.396
0.1235,3.401
0.124,3.405
0.1245,3.41
0.125,3.414
0.1255,3.419
0.126,3.423
0.1265,3.427
0.127,3.432
0.1275,3.436
0.128,3.441
0.1285,3.445
0.129,3.449
0.1295,3.454
0.13,3.458
0.1305,3.462
0.131,3.467
0.1315,3.471
0.132,3.475
0.1325,3.479
0.133,3.483
0.1335,3.488
0.134,3.492
0.1345,3.496
0.135,3.5
0.1355,3.504
0.136,3.509
0.1365,3.513
0.137,3.517
0.1375,3.521
0.138,3.525
0.1385,3.529
0.139,3.533
0.1395,3.537
0.14,3.541
0.1405,3.545
0.141,3.549
0.1415,3.553
0.142,3.557
0.1425,3.561
0.143,3.565
0.1435,3.569
0.144,3.573
0.1445,3.576
0.145,3.58
0.1455,3.584
0.146,3.588
0.1465,3.592
0.147,3.596
0.1475,3.599
0.148,3.603
0.1485,3.607
0.149,3.611
0.1495,3.614
0.15,3.618
0.1505,3.622
0.151,3.625
0.1515,3.629
0.152,3.633
0.1525,3.636
0.153,3.64
0.1535,3.643
0.154,3.647
0.1545,3.651
0.155,3.654
0.1555,3.658
0.156,3.661
0.1565,3.665
0.157,3.668
0.1575,3.672
0.158,3.675
0.1585,3.678
0.159,3.682
0.1595,3.685
0.16,3.689
0.1605,3.692
0.161,3.695
0.1615,3.699
0.162,3.702
0.1625,3.705
0.163,3.709
0.1635,3.712
0.164,3.715
0.1645,3.718
0.165,3.721
0.1655,3.725
0.166,3.728
0.1665,3.731
0.167,3.734
0.1675,3.737
0.168,3.74
0.1685,3.743
0.169,3.747
0.1695,3.75
0.17,3.753
0.1705,3.756
0.171,3.759
0.1715,3.762
0.172,3.765
0.1725,3.768
0.173,3.77
0.1735,3.773
0.174,3.776
0.1745,3.779
0.175,3.782
0.1755,3.785
0.176,3.788
0.1765,3.79
0.177,3.793
0.1775,3.796
0.178,3.799
0.1785,3.802
