,Index,Zeit[s],Drehzahl[1/min],Generatorspannung[V],Motorspannung[V],Strommessung[A],Temperatur[C],Ue
0,1,0.0,55.9321,0.0818,9.5093,0.821,20.6255,4.0
1,2,0.0005,54.2285,0.0818,8.9939,0.7742,20.6254,3.98
2,3,0.001,54.7964,0.0867,8.5434,0.7315,20.6254,3.96
3,4,0.0015,59.9069,0.0891,8.1067,0.6827,20.6254,3.94
4,5,0.002,56.4999,0.0842,7.7325,0.6399,20.6254,3.92
5,6,0.0025,65.5853,0.094,7.3475,0.6114,20.6254,3.9
6,7,0.003,60.4748,0.094,7.048,0.5646,20.6254,3.88
7,8,0.0035,64.4496,0.0916,6.7275,0.5301,20.6253,3.86
8,9,0.004,66.1532,0.1013,6.4974,0.4995,20.6253,3.84
9,10,0.0045,65.0175,0.1013,6.5062,0.4975,20.6253,3.82
10,11,0.005,72.9672,0.1013,6.7534,0.5402,20.6253,3.8
11,12,0.0055,65.0175,0.1062,7.2322,0.6175,20.6253,3.78
12,13,0.006,72.3994,0.1013,7.8825,0.7213,20.6253,3.76
13,14,0.0065,70.6959,0.1111,8.6773,0.7946,20.6252,3.74
14,15,0.007,74.6707,0.1038,9.3955,0.8841,20.6252,3.72
15,16,0.0075,80.9169,0.1111,10.0091,0.9655,20.6252,3.7
16,17,0.008,78.6456,0.0891,10.4903,1.0143,20.6252,3.68
17,18,0.0085,87.731,0.0964,10.5973,1.0469,20.6252,3.66
18,19,0.009,84.324,0.0842,10.3393,1.0184,20.6252,3.64
19,20,0.0095,91.7059,0.0842,9.7946,0.9431,20.6251,3.62
20,21,0.01,93.4094,0.0818,9.2157,0.8699,20.6251,3.6
21,22,0.0105,93.9772,0.0867,8.7076,0.817,20.6251,3.58
22,23,0.011,101.927,0.0794,8.3231,0.7457,20.6251,3.56
23,24,0.0115,96.2486,0.0964,7.9108,0.703,20.6251,3.54
24,25,0.012,103.0626,0.0696,7.5634,0.6379,20.6251,3.52
25,26,0.0125,101.927,0.0989,7.282,0.5707,20.625,3.5
26,27,0.013,105.334,0.1184,6.9952,0.5239,20.625,3.48
27,28,0.0135,111.0124,0.1135,6.6372,0.526,20.625,3.46
28,29,0.014,105.334,0.1111,6.281,0.5423,20.625,3.44
29,30,0.0145,113.8516,0.1209,6.2708,0.5402,20.625,3.42
30,31,0.015,108.1732,0.1306,6.5703,0.5606,20.625,3.4
31,32,0.0155,116.1229,0.1453,7.0954,0.6257,20.6249,3.38
32,33,0.016,115.5551,0.1526,7.9245,0.6705,20.6249,3.36
33,34,0.0165,116.1229,0.155,8.8605,0.7213,20.6249,3.34
34,35,0.017,122.937,0.1599,9.7149,0.7925,20.6249,3.32
35,36,0.0175,117.8264,0.1599,10.4282,0.8597,20.6249,3.3
36,37,0.018,127.4797,0.1721,10.9255,0.9004,20.6249,3.28
37,38,0.0185,126.344,0.1721,11.1092,0.9167,20.6248,3.26
38,39,0.019,132.5902,0.1697,10.8683,0.9004,20.6248,3.24
39,40,0.0195,135.9973,0.1746,10.307,0.8495,20.6248,3.22
40,41,0.02,134.8616,0.1819,9.711,0.817,20.6248,3.2
41,42,0.0205,142.8113,0.1892,9.264,0.7396,20.6248,3.18
42,43,0.021,138.8364,0.2014,8.8048,0.6989,20.6248,3.16
43,44,0.0215,146.7862,0.199,8.3328,0.6582,20.6247,3.14
44,45,0.022,145.0827,0.1892,7.8521,0.646,20.6247,3.12
45,46,0.0225,146.2183,0.1941,7.5219,0.5931,20.6247,3.1
46,47,0.023,151.3289,0.1673,7.114,0.5891,20.6247,3.08
47,48,0.0235,147.354,0.1892,6.8624,0.5341,20.6247,3.06
48,49,0.024,154.7359,0.1843,6.4677,0.5667,20.6247,3.04
49,50,0.0245,151.3289,0.199,6.4799,0.5301,20.6246,3.02
50,51,0.025,154.7359,0.2039,6.709,0.5667,20.6246,3.0
51,52,0.0255,156.4394,0.2112,7.2337,0.6216,20.6246,2.98
52,53,0.026,155.3038,0.2112,8.0808,0.646,20.6246,2.96
53,54,0.0265,163.2535,0.2112,8.8712,0.7335,20.6246,2.94
54,55,0.027,158.7108,0.2112,9.499,0.8719,20.6246,2.92
55,56,0.0275,168.364,0.2185,10.1141,0.9574,20.6245,2.9
56,57,0.028,167.7962,0.2088,10.5513,1.0164,20.6245,2.88
57,58,0.0285,171.7711,0.2088,10.7575,0.998,20.6245,2.86
58,59,0.029,177.4494,0.1917,10.6856,0.9044,20.6245,2.84
59,60,0.0295,175.1781,0.1819,10.1619,0.8434,20.6245,2.82
60,61,0.03,184.2635,0.1795,9.6485,0.7844,20.6245,2.8
61,62,0.0305,180.2886,0.1819,9.1394,0.7376,20.6244,2.78
62,63,0.031,185.3992,0.1648,8.6729,0.703,20.6244,2.76
63,64,0.0315,187.6705,0.1843,8.2889,0.642,20.6244,2.74
64,65,0.032,186.5349,0.199,7.8917,0.5972,20.6244,2.72
65,66,0.0325,192.7811,0.2014,7.5878,0.5382,20.6244,2.7
66,67,0.033,188.2384,0.2063,7.2532,0.526,20.6244,2.68
67,68,0.0335,195.6203,0.2039,6.9225,0.5158,20.6243,2.66
68,69,0.034,192.2132,0.1966,6.5712,0.528,20.6243,2.64
69,70,0.0345,195.0524,0.2112,6.6069,0.4771,20.6243,2.62
70,71,0.035,197.3238,0.2307,6.899,0.5036,20.6243,2.6
71,72,0.0355,192.7811,0.2332,7.3778,0.5809,20.6243,2.58
72,73,0.036,199.5951,0.2112,8.2019,0.6033,20.6243,2.56
73,74,0.0365,196.7559,0.2454,8.9992,0.701,20.6242,2.54
74,75,0.037,203.57,0.2429,9.8097,0.7824,20.6242,2.52
75,76,0.0375,203.57,0.2625,10.1976,0.9248,20.6242,2.5
76,77,0.038,205.2735,0.2625,10.1683,0.9492,20.6242,2.48
77,78,0.0385,210.3841,0.2698,10.1659,0.9512,20.6242,2.46
78,79,0.039,206.977,0.2576,10.2152,0.8943,20.6242,2.44
79,80,0.0395,215.4946,0.2723,10.2718,0.8312,20.6241,2.42
